Sample ID,Replicate,Dilution,AquaTest Result,mTEC Results
M5,A,10^-1,21,1
M5,B,10^-1,23,0
M6,C,10^-1,5,0
M6,A,10^-1,11,0
MBLO-1,,10^-1,0,0
MBLO-1,,ND,1,0
MBLO-2,,ND,0,0
MBLO-2,,10^-1,0,0
MBLO-3,,ND,0,0
MBLO-3,,10^-1,0,0
MBLP-1,,10^-1,0,0
MBLP-1,,ND,4,3
MBLP-2,,10^-1,0,0
MBLP-2,,ND,7,4
MBLP-3,,ND,0,0
MBLP-3,,10^-1,0,0
MBRL-1,,10^-1,3,4
MBRL-1,,ND,27,7
MBRL-2,,10^-1,7,1
MBRL-2,,ND,21,38
MBRL-3,,10^-1,5,1
MBRL-3,,ND,10,28
MPLO-1,,ND,0,0
MPLO-1,,10^-1,0,0
MPLO-2,,ND,0,0
MPLO-2,,10^-1,0,0
MPLO-3,,ND,0,0
MPLO-3,,10^-1,0,0
MPLP-1,,10^-1,3,0
MPLP-2,,10^-1,0,0
MPLP-2,,ND,4,6
MPLP-3,,10^-1,0,0
MPLP-3,,ND,1,0
MPRL-1,,10^-1,6,0
MPRL-1,,ND,22,26
MPRL-2,,10^-1,6,0
MPRL-3,,10^-1,5,3
MPRL-3,,ND,22,38
SE2,A,10^-1,0,0
SE2,A,N.D.,0,0
SE2,B,10^-1,0,0
SE2,B,N.D.,0,0
SE2,C,10^-1,0,0
SE2,C,N.D.,0,0
SE4,B,10^-1,4,11
SE4,C,10^-1,15,7
Tru-1,,10^-1,8,0
Tru-2,,10^-1,2,0
M2,A,N.D.,THTC,THTC
SE1,A,N.D.,THTC,THTC
SE1,B,N.D.,THTC,THTC
SE1,C,N.D.,Invalid,THTC
SE3,B,N.D.,THTC,THTC
MBLC-1,,ND,THTC,THTC
MBLC-2,,ND,THTC,THTC
MBLC-3,,ND,THTC,THTC
MPLC-1,,ND,THTC,THTC
MPLC-2,,ND,THTC,THTC
MPLC-3,,ND,THTC,THTC
MSL-2,,ND,THTC,THTC
MSL-3,,ND,THTC,THTC
M2,B,N.D.,THTC,THTC 
M2,C,N.D.,THTC,THTC 
M7,A,N.D.,Inconclusive,THTC 
M7,A,10^-1,Inconclusive,THTC 
M5,A,N.D.,THTC,2
M5,B,N.D.,THTC,2
SE3,B,10^-1,THTC,5
SE3,C,10^-1,THTC,8
MPRL-2,,ND,THTC,30
MSL-3,,10^-1,THTC,39
MSL-1,,10^-1,THTC,40
MBLC-3,,10^-1,THTC,45
SE3,C,N.D.,THTC,54
SE4,A,N.D.,THTC,64
MPLC-1,,10^-1,THTC,67
MBLC-2,,10^-1,THTC,71
SE4,B,N.D.,THTC,75
SE3,A,N.D.,THTC,78
MBLC-1,,10^-1,THTC,78
MPLC-3,,10^-1,THTC,93
MSL-1,,ND,THTC,97
MPLC-2,,10^-1,THTC,104
MSL-2,,10^-1,THTC,148
MPLP-1,,ND,Inconclusive,2
M6,C,N.D.,Inconclusive,0
Tru-3,,10^-1,Inconclusive,0
M6,A,N.D.,Inconclusive,6
SE3,A,10^-1,Inconclusive,12
SE1,A,10^-1,Inconclusive,37
SE1,C,10^-1,Inconclusive,47
SE1,B,10^-1,Inconclusive,50
SE4,C,N.D.,Inconclusive,52
